date,open,high,low,close,volume,raw_close,change_percent,avg_vol_20d,Month,Interest
07/10/2013,17.3771,17.5946,17.3339,17.4196,312292400,487.7488,0.98,427719040,2013-10,63
08/10/2013,17.4979,17.5229,17.1621,17.1764,290917200,480.9392,-1.4,405105120,2013-10,63
09/10/2013,17.3086,17.4211,17.0814,17.3782,301725200,486.5896,1.17,375256560,2013-10,63
10/10/2013,17.5471,17.585,17.3943,17.4871,278602800,489.6388,0.63,368984140,2013-10,63
11/10/2013,17.3925,17.6371,17.3271,17.6004,267738800,492.8112,0.65,367429300,2013-10,63
14/10/2013,17.4939,17.7707,17.4768,17.7157,261898000,496.0396,0.65,353338860,2013-10,63
15/10/2013,17.7682,17.9286,17.6971,17.81,320073600,498.68,0.53,349373500,2013-10,63
16/10/2013,17.8854,17.9475,17.8296,17.8968,251101200,501.1104,0.49,339085460,2013-10,63
17/10/2013,17.8564,18.0279,17.8457,18.0179,253593200,504.5012,0.68,331538060,2013-10,63
18/10/2013,18.0711,18.1879,18.0611,18.1746,290542000,508.8888,0.87,311100020,2013-10,63
21/10/2013,18.2775,18.725,18.2686,18.62,398106800,521.36,2.45,292900020,2013-10,63
22/10/2013,18.8004,18.8732,18.1439,18.5668,534063600,519.8704,-0.29,301385980,2013-10,63
23/10/2013,18.5357,18.7739,18.5357,18.7486,313723200,524.9608,0.98,301224280,2013-10,63
24/10/2013,18.75,19.0168,18.6589,18.9968,384764800,531.9104,1.32,308601440,2013-10,63
25/10/2013,18.9757,19.0439,18.7539,18.7843,337792000,525.9604,-1.12,314089020,2013-10,63
28/10/2013,18.8943,18.9643,18.6861,18.9243,550440800,529.8804,0.75,328603240,2013-10,63
29/10/2013,19.1525,19.2589,18.3764,18.4529,635807200,516.6812,-2.49,342699420,2013-10,63
30/10/2013,18.5575,18.84,18.465,18.7464,354163600,524.8992,1.59,345948400,2013-10,63
31/10/2013,18.75,18.8389,18.6168,18.6679,275696400,522.7012,-0.42,343595560,2013-10,63
01/11/2013,18.715,18.7429,18.4229,18.5725,274890000,520.03,-0.51,344396640,2013-11,63
04/11/2013,18.6107,18.815,18.5289,18.8125,244627600,526.75,1.29,341013400,2013-11,63
05/11/2013,18.735,18.8889,18.6786,18.7661,265213200,525.4508,-0.25,339728200,2013-11,63
06/11/2013,18.7196,18.745,18.5071,18.6043,223375600,520.9204,-0.28,335810720,2013-11,63
07/11/2013,18.5564,18.6854,18.2993,18.3032,262620400,512.4896,-1.62,335011600,2013-11,63
08/11/2013,18.3779,18.6118,18.3068,18.5914,279316800,520.5592,1.57,335590500,2013-11,63
11/11/2013,18.5711,18.6311,18.3718,18.5375,227452400,519.05,-0.29,333868220,2013-11,63
12/11/2013,18.4882,18.7114,18.4643,18.5718,204276800,520.0104,0.18,328078380,2013-11,63
13/11/2013,18.5,18.6518,18.4629,18.5939,197220800,520.6292,0.12,325384360,2013-11,63
14/11/2013,18.6718,18.9029,18.6382,18.8629,282419200,528.1612,1.45,326825660,2013-11,63
15/11/2013,18.8064,18.8961,18.7318,18.7496,317920400,524.9888,-0.6,328194580,2013-11,63
18/11/2013,18.7496,18.8282,18.5071,18.5225,244944000,518.63,-1.21,320536440,2013-11,63
19/11/2013,18.5368,18.6921,18.4989,18.5554,208938800,519.5512,0.18,304280200,2013-11,63
20/11/2013,18.5439,18.5864,18.3689,18.3929,193916800,515.0012,-0.88,298289880,2013-11,63
21/11/2013,18.4857,18.6146,18.3454,18.6121,262026800,521.1388,1.19,292152980,2013-11,63
